S Ladda,0,0,0
VR Aaron,0,0,0
Anureet Singh,0,0,0
S Aravind,0,0,0
M Ashwin,0,0.00,0.00
SM Boland,0,0,0
TA Boult,0,0,0
YS Chahal,0,0,0
DL Chahar,0,0,0
UBT Chand,0,0.00,0.00
AB Dinda,0,0,0
S Gopal,0,2.00,12.50
JW Hastings,0,0,0
GB Hogg,0,0,0
S Kaushik,0,0.00,0.00
Kuldeep Yadav,0,0,0
Mandeep Singh,0,0,0
AF Milne,0,0,0
A Mishra,0,2.00,28.57
Mustafizur Rahman,0,0,0
S Nadeem,0,0,20.00
HV Patel,0,0,0
AS Rajpoot,0,0,0
PJ Sangwan,0,0,0
T Shamsi,0,0,0
I Sharma,0,0,0
RP Singh,0,0,0
J Suchith,0,0,0
Swapnil Singh,0,0.00,0.00
JD Unadkat,0,0,0
A Zampa,0,0.00,0.00
Q de Kock,1,37.08,136.08
S Dhawan,1,38.53,116.78
MS Dhoni,1,40.57,135.23
JP Duminy,1,38.20,122.43
F du Plessis,1,34.33,127.16
AJ Finch,1,39.30,131.43
G Gambhir,1,38.53,121.89
V Kohli,1,81.08,152.03
SE Marsh,1,31.80,118.65
KK Nair,1,35.70,120.20
YK Pathan,1,72.20,145.56
KP Pietersen,1,36.50,119.67
AM Rahane,1,43.63,126.64
KL Rahul,1,44.11,146.49
N Rana,1,34.66,138.66
AT Rayudu,1,30.36,120.14
RG Sharma,1,44.45,132.88
SPD Smith,1,45.00,153.40
MP Stoinis,1,36.50,135.18
M Vijay,1,34.84,124.45
DA Warner,1,60.57,151.42
MA Agarwal,2,9.00,108.00
Ankit Sharma,2,0,100.00
R Ashwin,2,20.50,107.89
GJ Bailey,2,21.00,85.71
F Behardien,2,7.00,107.69
DJ Bravo,2,12.37,120.73
KC Cariappa,2,13.00,118.18
PP Chawla,2,9.00,103.84
MJ Guptill,2,19.00,103.63
Harbhajan Singh,2,30.66,109.52
MC Henriques,2,15.16,115.18
JO Holder,2,5.50,115.78
DJ Hooda,2,10.28,119.00
Ishan Kishan,2,8.40,102.43
RA Jadeja,2,21.22,107.90
P Kumar,2,6.00,92.30
CA Lynn,2,25.00,113.63
DA Miller,2,16.10,122.90
EJG Morgan,2,24.60,117.14
M Morkel,2,0,100.00
C Munro,2,10.00,100.00
P Negi,2,28.50,96.61
A Nehra,2,0,100.00
NV Ojha,2,13.60,98.55
Parvez Rasool,2,10.00,111.11
PA Patel,2,17.70,116.44
KW Richardson,2,0,100.00
SV Samson,2,26.45,112.35
Sandeep Sharma,2,0,88.88
R Sathish,2,8.00,100.00
Shakib Al Hasan,2,22.80,107.54
KV Sharma,2,0,120.00
MM Sharma,2,8.00,123.07
LMP Simmons,2,8.00,100.00
BB Sran,2,0,100.00
SS Tiwary,2,24.28,120.56
R Vinay Kumar,2,13.00,108.33
D Wiese,2,0,125.00
KS Williamson,2,20.66,101.63
R Bhatia,3,34.00,170.00
Bipul Sharma,3,25.50,204.00
CR Brathwaite,3,13.83,218.42
BCJ Cutting,3,32.50,191.17
AB de Villiers,3,52.84,168.79
R Dhawan,3,0,233.33
ER Dwivedi,3,12.00,171.42
SN Khan,3,33.00,212.90
DS Kulkarni,3,13.50,168.75
JA Morkel,3,16.00,177.77
CH Morris,3,65.00,178.89
KH Pandya,3,39.50,191.12
AD Russell,3,26.85,164.91
UT Yadav,3,9.00,180.00
KJ Abbott,4,13.00,162.50
HM Amla,4,26.16,131.93
A Ashish Reddy,4,23.50,162.06
SW Billings,4,22.00,137.50
STR Binny,4,15.75,161.53
JC Buttler,4,23.18,138.58
JP Faulkner,4,25.66,130.50
CH Gayle,4,22.70,151.33
Gurkeerat Singh,4,22.60,131.39
TM Head,4,27.00,135.00
Iqbal Abdulla,4,0,137.03
KM Jadhav,4,0,131.25
KD Karthik,4,25.76,125.93
UT Khawaja,4,21.16,127.00
B Kumar,4,7.16,159.25
MJ McClenaghan,4,11.33,147.82
BB McCullum,4,22.12,135.11
GJ Maxwell,4,19.88,144.35
MK Pandey,4,31.00,135.51
RR Pant,4,24.75,130.26
AR Patel,4,15.85,144.15
NLTC Perera,4,21.42,161.29
KA Pollard,4,25.87,143.75
SK Raina,4,28.50,127.88
Sachin Baby,4,29.75,150.63
WP Saha,4,24.54,127.35
P Sahu,4,19.00,146.15
DR Smith,4,29.45,146.60
TG Southee,4,10.00,157.89
RV Uthappa,4,26.26,136.33
M Vohra,4,23.00,122.90
SR Watson,4,13.76,133.58
SA Yadav,4,26.00,127.27
Yuvraj Singh,4,26.22,131.84
AD Nath,5,6.66,74.07
JJ Bumrah,5,8.00,72.72
NM Coulter-Nile,5,0,64.28
PSP Handscomb,5,6.00,50.00
Imran Tahir,5,5.00,71.42
SS Iyer,5,5.00,69.76
SB Jakati,5,0,50.00
MG Johnson,5,2.50,35.71
CJ Jordan,5,3.00,75.00
Z Khan,5,3.00,46.15
MR Marsh,5,7.00,63.63
Mohammed Shami,5,0,50.00
NS Naik,5,11.50,74.19
SP Narine,5,7.00,53.84
HH Pandya,5,6.28,69.84
IK Pathan,5,3.66,84.61
DW Steyn,5,1.00,50.00
PV Tambe,5,0,36.84
AP Tare,5,4.00,53.33
J Yadav,5,3.00,60.00
